,tweet_id,timestamp,rating_numerator,rating_denominator,dog_stage,retweet_count,favorite_count
0,890240255349198849,2017-07-26 15:59:51,14,10,doggo,7711,32467
1,889665388333682689,2017-07-25 01:55:32,13,10,puppo,8538,38818
2,889531135344209921,2017-07-24 17:02:04,13,10,puppo,2321,15359
3,886366144734445568,2017-07-15 23:25:31,12,10,pupper,3316,21524
4,884162670584377345,2017-07-09 21:29:42,12,10,doggo,3128,20771
5,883360690899218434,2017-07-07 16:22:55,13,10,floofer,3825,22986
6,882762694511734784,2017-07-06 00:46:41,12,10,pupper,5134,28903
7,881666595344535552,2017-07-03 00:11:11,13,10,pupper,11099,51522
8,881536004380872706,2017-07-02 15:32:16,14,10,pupper,16570,50199
9,876838120628539392,2017-06-19 16:24:33,12,10,pupper,3506,21125
10,876120275196170240,2017-06-17 16:52:05,13,10,puppo,4903,28490
11,874296783580663808,2017-06-12 16:06:11,13,10,pupper,4308,26651
12,874012996292530176,2017-06-11 21:18:31,13,10,puppo,11007,35501
13,873213775632977920,2017-06-09 16:22:42,12,10,pupper,1667,7467
14,872967104147763200,2017-06-09 00:02:31,12,10,doggo,5669,28031
15,871879754684805121,2017-06-06 00:01:46,13,10,puppo,11918,39090
16,871762521631449091,2017-06-05 16:15:56,12,10,pupper,3678,20787
17,871515927908634625,2017-06-04 23:56:03,12,10,doggo,3628,20730
18,869596645499047938,2017-05-30 16:49:31,12,10,doggo,3327,16476
19,867421006826221569,2017-05-24 16:44:18,12,10,puppo,2697,16755
20,866686824827068416,2017-05-22 16:06:55,12,10,puppo,3727,20070
21,866450705531457537,2017-05-22 00:28:40,13,10,pupper,32883,106827
22,859607811541651456,2017-05-03 03:17:27,13,10,puppo,1704,19476
23,858843525470990336,2017-05-01 00:40:27,13,10,puppo,3771,16304
24,855851453814013952,2017-04-22 18:31:02,13,10,puppo,19196,47844
25,854120357044912130,2017-04-17 23:52:16,14,10,pupper,8285,33911
26,854010172552949760,2017-04-17 16:34:26,11,10,doggo,3433,17169
27,850019790995546112,2017-04-06 16:18:05,12,10,pupper,5459,21944
28,846514051647705089,2017-03-28 00:07:32,13,10,doggo,13076,48410
29,845397057150107648,2017-03-24 22:08:59,13,10,doggo,2072,8241
30,845306882940190720,2017-03-24 16:10:40,12,10,pupper,6039,25225
31,841439858740625411,2017-03-14 00:04:30,14,10,doggo,4168,13755
32,837820167694528512,2017-03-04 00:21:08,12,10,pupper,8952,37277
33,837366284874571778,2017-03-02 18:17:34,13,10,puppo,6005,23074
34,837110210464448512,2017-03-02 01:20:01,13,10,pupper,2731,17480
35,836753516572119041,2017-03-01 01:42:39,12,10,doggo,5237,21029
36,836380477523124226,2017-02-28 01:00:19,12,10,pupper,3337,16037
37,834574053763584002,2017-02-23 01:22:14,13,10,doggo,2882,14993
38,833124694597443584,2017-02-19 01:23:00,12,10,pupper,5513,22133
39,832998151111966721,2017-02-18 17:00:10,13,10,doggo,2522,14549
40,832273440279240704,2017-02-16 17:00:25,14,10,doggo,2673,12385
41,832032802820481025,2017-02-16 01:04:13,12,10,doggo,4746,13887
42,831939777352105988,2017-02-15 18:54:34,12,10,doggo,7031,26404
43,831322785565769729,2017-02-14 02:02:51,12,10,doggo,1744,10042
44,831315979191906304,2017-02-14 01:35:49,13,10,pupper,1264,7117
45,829449946868879360,2017-02-08 22:00:52,11,10,doggo,2329,11519
46,829374341691346946,2017-02-08 17:00:26,13,10,doggo,10706,38074
47,828381636999917570,2017-02-05 23:15:47,14,10,doggo,2554,13864
48,827933404142436356,2017-02-04 17:34:40,12,10,pupper,5987,22180
49,826958653328592898,2017-02-02 01:01:21,12,10,doggo,5757,23767
50,826848821049180160,2017-02-01 17:44:55,13,10,doggo,11878,40325
51,826476773533745153,2017-01-31 17:06:32,12,10,doggo,4821,20275
52,826204788643753985,2017-01-30 23:05:46,13,10,doggo,1075,5361
53,825535076884762624,2017-01-29 02:44:34,14,10,puppo,19669,56413
54,825026590719483904,2017-01-27 17:04:02,12,10,puppo,1483,7020
55,824325613288833024,2017-01-25 18:38:36,13,10,pupper,11848,12999
56,822872901745569793,2017-01-21 18:26:02,13,10,puppo,48265,132810
57,822462944365645825,2017-01-20 15:17:01,14,10,pupper,17209,31800
58,821765923262631936,2017-01-18 17:07:18,13,10,doggo,1899,9317
59,821407182352777218,2017-01-17 17:21:47,14,10,doggo,5053,13075
60,821107785811234820,2017-01-16 21:32:06,11,10,doggo,2487,10645
61,819952236453363712,2017-01-13 17:00:21,13,10,puppo,1369,5927
62,819924195358416896,2017-01-13 15:08:56,11,10,doggo,5607,14305
